,RMSE,MAE,R2
Ridge Regression,0.38368365088926354,0.27261544141590993,0.7199803341108263
Random Forest Regressor,0.30591155475886717,0.21386370388500536,0.8219943825679368
Gradient Boosting Regressor,0.31138291515285005,0.22342398055682983,0.8155700257552221
